url,причина,клики,показы,позиция,google_canonical,последний_обход
https://www.signmypdf.io/fill,Вариант страницы с тегом canonical,0,0,,https://signmypdf.io/fill,2026-04-23
https://www.signmypdf.io/blog/sign-nda-online-without-printing,"Просканирована, но пока не проиндексирована",2,254,47.9,https://www.signmypdf.io/blog/sign-nda-online-without-printing,2026-06-03
https://www.signmypdf.io/blog/sign-multiple-pdf-pages,"Просканирована, но пока не проиндексирована",2,86,9.9,https://www.signmypdf.io/blog/sign-multiple-pdf-pages,2026-07-05
https://www.signmypdf.io/blog/signed-pdf-looks-different-fix,"Просканирована, но пока не проиндексирована",0,80,9.0,https://www.signmypdf.io/blog/signed-pdf-looks-different-fix,2026-05-22
https://www.signmypdf.io/blog/fill-irs-form-online-free,"Просканирована, но пока не проиндексирована",0,58,35.8,https://www.signmypdf.io/blog/fill-irs-form-online-free,2026-05-29
https://www.signmypdf.io/blog/fill-w9-form-online-free,"Просканирована, но пока не проиндексирована",0,36,59.6,https://www.signmypdf.io/blog/fill-w9-form-online-free,2026-05-16
https://www.signmypdf.io/blog/why-pdf-not-downloading-after-sign,"Просканирована, но пока не проиндексирована",0,31,10.6,https://www.signmypdf.io/blog/why-pdf-not-downloading-after-sign,2026-07-06
https://www.signmypdf.io/blog/sign-service-agreement-online,"Просканирована, но пока не проиндексирована",0,21,68.7,https://www.signmypdf.io/blog/sign-service-agreement-online,2026-05-18
https://www.signmypdf.io/blog/remote-teams-sign-documents,"Просканирована, но пока не проиндексирована",0,19,7.4,https://www.signmypdf.io/blog/remote-teams-sign-documents,2026-05-22
https://www.signmypdf.io/blog/hr-teams-collect-signatures,"Просканирована, но пока не проиндексирована",0,16,42.0,https://www.signmypdf.io/blog/hr-teams-collect-signatures,2026-05-23
https://www.signmypdf.io/blog/fill-pdf-on-iphone-no-app,"Просканирована, но пока не проиндексирована",0,6,7.8,https://www.signmypdf.io/blog/fill-pdf-on-iphone-no-app,2026-06-25
https://www.signmypdf.io/blog/consultants-proposals-digital-signature,"Просканирована, но пока не проиндексирована",0,5,79.6,https://www.signmypdf.io/blog/consultants-proposals-digital-signature,2026-07-03
https://www.signmypdf.io/blog/real-estate-agents-sign-documents,"Просканирована, но пока не проиндексирована",0,2,27.0,https://www.signmypdf.io/blog/real-estate-agents-sign-documents,2026-05-19
https://signmypdf.io/fill,"Просканирована, но пока не проиндексирована",0,1,88.0,https://signmypdf.io/fill,2026-04-23
https://www.signmypdf.io/blog/property-managers-tenant-signatures,"Просканирована, но пока не проиндексирована",0,1,9.0,https://www.signmypdf.io/blog/property-managers-tenant-signatures,2026-05-31
https://www.signmypdf.io/blog/sign-medical-release-form-online,"Просканирована, но пока не проиндексирована",0,1,74.0,https://www.signmypdf.io/blog/sign-medical-release-form-online,2026-05-20
https://www.signmypdf.io/blog/freelancers-protect-client-contracts,"Просканирована, но пока не проиндексирована",0,0,,https://www.signmypdf.io/blog/freelancers-protect-client-contracts,2026-06-12
https://www.signmypdf.io/blog/password-protect-pdf-online-free,"Просканирована, но пока не проиндексирована",0,0,,https://www.signmypdf.io/blog/password-protect-pdf-online-free,2026-05-30
https://www.signmypdf.io/blog/password-protect-pdf-without-adobe,"Просканирована, но пока не проиндексирована",0,0,,https://www.signmypdf.io/blog/password-protect-pdf-without-adobe,2026-05-22
https://www.signmypdf.io/blog/sign-construction-contract-online,"Просканирована, но пока не проиндексирована",0,0,,https://www.signmypdf.io/blog/sign-construction-contract-online,2026-05-18
https://signmypdf.io/blog/fill-irs-form-online-free,Страница с переадресацией,0,69,33.5,https://www.signmypdf.io/blog/fill-irs-form-online-free,2026-05-29
https://signmypdf.io/blog/signmypdf-vs-docusign-freelancers,Страница с переадресацией,0,6,21.5,https://www.signmypdf.io/blog/signmypdf-vs-docusign-freelancers,2026-05-28
https://signmypdf.io/terms,Страница с переадресацией,0,3,8.0,https://www.signmypdf.io/terms,2026-06-13
https://signmypdf.io/blog,Страница с переадресацией,0,2,13.0,https://www.signmypdf.io/blog,2026-06-22
https://signmypdf.io/,Страница с переадресацией,0,1,79.0,https://www.signmypdf.io/,2026-07-12
https://signmypdf.io/blog/ilovepdf-vs-signmypdf,Страница с переадресацией,0,1,49.0,https://www.signmypdf.io/blog/ilovepdf-vs-signmypdf,2026-05-05
