url,состояние,причина,клики,показы,позиция,google_canonical,последний_обход
https://www.signmypdf.io/blog/signature-disappears-pdf-fix,Submitted and indexed,,45,3561,8.0,https://www.signmypdf.io/blog/signature-disappears-pdf-fix,2026-07-30
https://www.signmypdf.io/blog/sign-pdf-on-iphone-free,Submitted and indexed,,3,3292,17.7,https://www.signmypdf.io/blog/sign-pdf-on-iphone-free,2026-08-01
https://www.signmypdf.io/blog/electronic-signature-laws-by-state,Submitted and indexed,,2,1520,64.2,https://www.signmypdf.io/blog/electronic-signature-laws-by-state,2026-07-25
https://www.signmypdf.io/sign,Submitted and indexed,,0,1369,42.7,https://www.signmypdf.io/sign,2026-07-19
https://www.signmypdf.io/blog/pdf-form-fields-not-working-fix,Submitted and indexed,,5,1071,10.2,https://www.signmypdf.io/blog/pdf-form-fields-not-working-fix,2026-05-24
https://www.signmypdf.io/blog/smallpdf-vs-signmypdf,Submitted and indexed,,0,334,25.3,https://www.signmypdf.io/blog/smallpdf-vs-signmypdf,2026-05-28
https://www.signmypdf.io/blog/sign-pdf-no-editing-allowed,Submitted and indexed,,4,323,10.3,https://www.signmypdf.io/blog/sign-pdf-no-editing-allowed,2026-08-02
https://www.signmypdf.io/blog/hipaa-electronic-signatures,Submitted and indexed,,0,266,83.8,https://www.signmypdf.io/blog/hipaa-electronic-signatures,2026-05-27
https://www.signmypdf.io/blog/sign-nda-online-without-printing,Crawled - currently not indexed,"Просканирована, но пока не проиндексирована",2,254,47.9,https://www.signmypdf.io/blog/sign-nda-online-without-printing,2026-06-03
https://www.signmypdf.io/sign-nda,Submitted and indexed,,0,191,62.2,https://www.signmypdf.io/sign-nda,2026-06-05
https://www.signmypdf.io/blog/hellosign-alternatives-free,Submitted and indexed,,0,188,59.4,https://www.signmypdf.io/blog/hellosign-alternatives-free,2026-05-25
https://www.signmypdf.io/blog/adobe-fill-sign-vs-signmypdf,Submitted and indexed,,0,173,24.0,https://www.signmypdf.io/blog/adobe-fill-sign-vs-signmypdf,2026-07-23
https://www.signmypdf.io/blog/protected-pdf-keeps-asking-password,Submitted and indexed,,1,157,16.3,https://www.signmypdf.io/blog/protected-pdf-keeps-asking-password,2026-07-19
https://www.signmypdf.io/blog/adobe-vs-free-pdf-protection,Submitted and indexed,,0,150,24.7,https://www.signmypdf.io/blog/adobe-vs-free-pdf-protection,2026-07-23
https://www.signmypdf.io/blog/pdf-read-only-add-text-fix,Submitted and indexed,,0,113,9.8,https://www.signmypdf.io/blog/pdf-read-only-add-text-fix,2026-05-22
https://www.signmypdf.io/blog/eidas-regulation-eu-signatures,Submitted and indexed,,1,112,25.9,https://www.signmypdf.io/blog/eidas-regulation-eu-signatures,2026-05-31
https://www.signmypdf.io/blog/fill-bank-form-pdf-online,Submitted and indexed,,3,111,7.5,https://www.signmypdf.io/blog/fill-bank-form-pdf-online,2026-07-19
https://www.signmypdf.io/blog/digital-signatures-admissible-court,Submitted and indexed,,0,97,64.7,https://www.signmypdf.io/blog/digital-signatures-admissible-court,2026-05-28
https://www.signmypdf.io/blog/password-pdf-vs-encrypted-email,Submitted and indexed,,1,90,11.0,https://www.signmypdf.io/blog/password-pdf-vs-encrypted-email,2026-07-22
https://www.signmypdf.io/blog/fill-rental-application-pdf-free,Submitted and indexed,,0,86,12.6,https://www.signmypdf.io/blog/fill-rental-application-pdf-free,2026-05-30
https://www.signmypdf.io/blog/sign-multiple-pdf-pages,Crawled - currently not indexed,"Просканирована, но пока не проиндексирована",2,86,9.9,https://www.signmypdf.io/blog/sign-multiple-pdf-pages,2026-07-05
https://www.signmypdf.io/blog/protected-pdf-wont-open-some-devices,Submitted and indexed,,0,83,14.5,https://www.signmypdf.io/blog/protected-pdf-wont-open-some-devices,2026-07-29
https://www.signmypdf.io/blog/signed-pdf-looks-different-fix,Crawled - currently not indexed,"Просканирована, но пока не проиндексирована",0,80,9.0,https://www.signmypdf.io/blog/signed-pdf-looks-different-fix,2026-05-22
https://www.signmypdf.io/blog/zip-password-vs-pdf-password,Submitted and indexed,,0,72,8.7,https://www.signmypdf.io/blog/zip-password-vs-pdf-password,2026-07-22
https://www.signmypdf.io/blog/sign-car-purchase-agreement-online,Submitted and indexed,,1,70,9.9,https://www.signmypdf.io/blog/sign-car-purchase-agreement-online,2026-07-20
https://signmypdf.io/blog/fill-irs-form-online-free,Page with redirect,Страница с переадресацией,0,69,33.5,https://www.signmypdf.io/blog/fill-irs-form-online-free,2026-05-29
https://www.signmypdf.io/blog/ilovepdf-vs-signmypdf,Submitted and indexed,,0,69,30.5,https://www.signmypdf.io/blog/ilovepdf-vs-signmypdf,2026-05-05
https://www.signmypdf.io/blog/fill-visa-application-form-pdf,Submitted and indexed,,1,63,7.8,https://www.signmypdf.io/blog/fill-visa-application-form-pdf,2026-07-22
https://www.signmypdf.io/blog/fill-irs-form-online-free,Crawled - currently not indexed,"Просканирована, но пока не проиндексирована",0,58,35.8,https://www.signmypdf.io/blog/fill-irs-form-online-free,2026-05-29
https://www.signmypdf.io/blog/dochub-free-alternative,Submitted and indexed,,0,54,25.3,https://www.signmypdf.io/blog/dochub-free-alternative,2026-07-25
https://www.signmypdf.io/blog/pandadoc-free-alternative,Submitted and indexed,,2,48,30.8,https://www.signmypdf.io/blog/pandadoc-free-alternative,2026-07-03
https://www.signmypdf.io/,Submitted and indexed,,1,44,6.3,https://www.signmypdf.io/,2026-07-12
https://www.signmypdf.io/blog/what-happens-if-protected-pdf-leaks,Submitted and indexed,,0,43,8.4,https://www.signmypdf.io/blog/what-happens-if-protected-pdf-leaks,2026-05-19
https://www.signmypdf.io/blog/how-to-sign-lease-agreement-online,Submitted and indexed,,0,42,52.0,https://www.signmypdf.io/blog/how-to-sign-lease-agreement-online,2026-05-31
https://www.signmypdf.io/blog/fill-medical-release-form-online,Submitted and indexed,,0,39,18.5,https://www.signmypdf.io/blog/fill-medical-release-form-online,2026-05-31
https://www.signmypdf.io/blog/add-multiple-signatures-one-pdf,Submitted and indexed,,0,38,31.3,https://www.signmypdf.io/blog/add-multiple-signatures-one-pdf,2026-07-03
https://www.signmypdf.io/blog/password-protect-pdf-on-windows-11,Submitted and indexed,,0,37,12.4,https://www.signmypdf.io/blog/password-protect-pdf-on-windows-11,2026-07-22
https://www.signmypdf.io/blog/fill-w9-form-online-free,Crawled - currently not indexed,"Просканирована, но пока не проиндексирована",0,36,59.6,https://www.signmypdf.io/blog/fill-w9-form-online-free,2026-05-16
https://www.signmypdf.io/blog/password-protect-pdf-on-iphone,Submitted and indexed,,0,34,12.9,https://www.signmypdf.io/blog/password-protect-pdf-on-iphone,2026-07-27
https://www.signmypdf.io/blog/docusign-free-plan-vs-signmypdf,Submitted and indexed,,0,32,13.2,https://www.signmypdf.io/blog/docusign-free-plan-vs-signmypdf,2026-07-22
